GENE OR COMPLEX	ENZYME LOCATION	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
mqo	inner membrane	MALATE-DEHYDROGENASE-ACCEPTOR-RXN	ETR-Quinones,MAL	ETR-Quinols,OXALACETIC_ACID	1.0	0.0
nadR	inner membrane	2.7.7.1-RXN	PROTON,NICOTINAMIDE_NUCLEOTIDE,ATP	NAD,PPI	1.0	0.0
nadR	inner membrane	RIBOSYLNICOTINAMIDE-KINASE-RXN	NICOTINAMIDE_RIBOSE,ATP	PROTON,NICOTINAMIDE_NUCLEOTIDE,ADP	1.0	0.0
ndk	cytosol	UDPKIN-RXN	UDP,ATP	UTP,ADP	1.0	0.0
ndk	cytosol	CDPKIN-RXN	CDP,ATP	CTP,ADP	1.0	0.0
ndk	cytosol	DCDPKIN-RXN	DCDP,ATP	DCTP,ADP	1.0	0.0
ndk	cytosol	DTDPKIN-RXN	TDP,ATP	TTP,ADP	1.0	0.0
ndk	cytosol	DGDPKIN-RXN	DGDP,ATP	DGTP,ADP	1.0	0.0
ndk	cytosol	GDPKIN-RXN	GDP,ATP	GTP,ADP	1.0	0.0
nudI	cytosol	DUTP-PYROP-RXN	DUTP,WATER	PROTON,DUMP,PPI	1.0	0.0
pfkB	cytosol	6PFRUCTPHOS-RXN	FRUCTOSE-6P,ATP	PROTON,ADP,FRUCTOSE-16-DIPHOSPHATE	1.0	0.0
phoA	periplasmic space	HISTIDPHOS-RXN	L-HISTIDINOL-P,WATER	HISTIDINOL,Pi	1.0	0.0
phoA	periplasmic space	F16BDEPHOS-RXN	FRUCTOSE-16-DIPHOSPHATE,WATER	FRUCTOSE-6P,Pi	1.0	0.0
phoA	periplasmic space	RXN-14505	L-THREONINE-O-3-PHOSPHATE,WATER	THR,Pi	1.0	0.0
phoA	periplasmic space	RXN0-5114	3-P-SERINE,WATER	SER,Pi	1.0	0.0
ppnN	cytosol	AMP-NUCLEOSID-RXN	WATER,AMP	CPD-15317,ADENINE	1.0	0.0
ppnP	cytosol	RXN0-5199	GUANOSINE,Pi	RIBOSE-1P,GUANINE	1.0	1.0
ppnP	cytosol	THYM-PHOSPH-RXN	THYMIDINE,Pi	DEOXY-D-RIBOSE-1-PHOSPHATE,THYMINE	1.0	1.0
ppnP	cytosol	INOPHOSPHOR-RXN	INOSINE,Pi	RIBOSE-1P,HYPOXANTHINE	1.0	1.0
ppnP	cytosol	ADENPHOSPHOR-RXN	ADENOSINE,Pi	RIBOSE-1P,ADENINE	1.0	1.0
ptsG	unknown	TRANS-RXN-157	PTSH-PHOSPHORYLATED,Glucopyranose	D-glucopyranose-6-phosphate,PTSH-MONOMER	1.0	0.0
ptsG	unknown	TRANS-RXN0-583	CPD-3582,PTSH-PHOSPHORYLATED	PTSH-MONOMER,CPD-16619	1.0	0.0
pykF	cytosol	PEPDEPHOS-RXN	PYRUVATE,ATP	PROTON,ADP,PHOSPHO-ENOL-PYRUVATE	0.0	1.0
pyrD	inner membrane	DIHYDROOROTATE-DEHYDROGENASE-RXN	ETR-Quinones,DI-H-OROTATE	ETR-Quinols,OROTATE	1.0	0.0
pyrD	inner membrane	RXN0-6491	DI-H-OROTATE,Ubiquinones	OROTATE,Ubiquinols	1.0	0.0
pyrD	inner membrane	RXN0-6554	DI-H-OROTATE,Menaquinones	OROTATE,Menaquinols	1.0	0.0
rihB	cytosol	RXN0-361	CYTIDINE,WATER	D-Ribofuranose,CYTOSINE	1.0	0.0
rihB	cytosol	URIDINE-NUCLEOSIDASE-RXN	URIDINE,WATER	D-Ribofuranose,URACIL	1.0	0.0
rihC	cytosol	URIDINE-NUCLEOSIDASE-RXN	URIDINE,WATER	D-Ribofuranose,URACIL	1.0	0.0
rihC	cytosol	RXN0-361	CYTIDINE,WATER	D-Ribofuranose,CYTOSINE	1.0	0.0
rpiB	cytosol	RIB5PISOM-RXN	RIBOSE-5P	RIBULOSE-5P	1.0	1.0
serB	cytosol	RXN0-5114	3-P-SERINE,WATER	SER,Pi	1.0	0.0
serC	cytosol	SUCCINYLDIAMINOPIMTRANS-RXN	2-KETOGLUTARATE,N-SUCCINYLLL-2-6-DIAMINOPIMELATE	GLT,N-SUCCINYL-2-AMINO-6-KETOPIMELATE	1.0	1.0
sucA	cytosol	2OXOGLUTARATEDEH-RXN	2-KETOGLUTARATE,CO-A,NAD	SUC-COA,CARBON-DIOXIDE,NADH	1.0	0.0
sucB	unknown	2OXOGLUTARATEDEH-RXN	2-KETOGLUTARATE,CO-A,NAD	SUC-COA,CARBON-DIOXIDE,NADH	1.0	0.0
sucD	cytosol	SUCCCOASYN-RXN	SUC,CO-A,ATP	SUC-COA,ADP,Pi	1.0	1.0
talB	cytosol	TRANSALDOL-RXN	D-SEDOHEPTULOSE-7-P,GAP	FRUCTOSE-6P,ERYTHROSE-4P	1.0	1.0
thrA	cytosol	ASPARTATEKIN-RXN	L-ASPARTATE,ATP	L-BETA-ASPARTYL-P,ADP	1.0	0.0
thrA	cytosol	HOMOSERDEHYDROG-RXN	NAD-P-OR-NOP,HOMO-SER	NADH-P-OR-NOP,L-ASPARTATE-SEMIALDEHYDE,PROTON	0.0	1.0
tktB	cytosol	1TRANSKETO-RXN	D-SEDOHEPTULOSE-7-P,GAP	RIBOSE-5P,XYLULOSE-5-PHOSPHATE	1.0	1.0
tktB	cytosol	2TRANSKETO-RXN	ERYTHROSE-4P,XYLULOSE-5-PHOSPHATE	FRUCTOSE-6P,GAP	1.0	1.0
trpB	cytosol	TRYPSYN-RXN	INDOLE-3-GLYCEROL-P,SER	TRP,WATER,GAP	1.0	0.0
trpE	cytosol	ANTHRANSYN-RXN	CHORISMATE,GLN	PROTON,ANTHRANILATE,PYRUVATE,GLT	1.0	0.0
tyrA	cytosol	CHORISMATEMUT-RXN	CHORISMATE	PREPHENATE	1.0	0.0
tyrB	cytosol	BRANCHED-CHAINAMINOTRANSFERLEU-RXN	LEU,2-KETOGLUTARATE	2K-4CH3-PENTANOATE,GLT	1.0	1.0
tyrB	cytosol	TYROSINE-AMINOTRANSFERASE-RXN	TYR,2-KETOGLUTARATE	P-HYDROXY-PHENYLPYRUVATE,GLT	1.0	1.0
tyrB	cytosol	RXN-10814	PHE,2-KETOGLUTARATE	PHENYL-PYRUVATE,GLT	1.0	1.0
udp	cytosol	URPHOS-RXN	Pi,URIDINE	RIBOSE-1P,URACIL	1.0	1.0
umpG	cytosol	5-NUCLEOTID-RXN	Ribonucleoside-Monophosphates,WATER	Ribonucleosides,Pi	1.0	0.0
umpG	cytosol	3-NUCLEOTID-RXN	3-Phosphomonucleotides,WATER	Ribonucleosides,Pi	1.0	0.0
umpG	cytosol	RXN-14126	CPD-3706,WATER	ADENOSINE,Pi	1.0	0.0
umpG	cytosol	RXN-14090	CPD-3711,WATER	CYTIDINE,Pi	1.0	0.0
umpG	cytosol	RXN-14142	DGMP,WATER	DEOXYGUANOSINE,Pi	1.0	0.0
umpH	cytosol	5-NUCLEOTID-RXN	Ribonucleoside-Monophosphates,WATER	Ribonucleosides,Pi	1.0	0.0
ushA	periplasmic space	5-NUCLEOTID-RXN	Ribonucleoside-Monophosphates,WATER	Ribonucleosides,Pi	1.0	0.0
ushA	periplasmic space	RXN0-3741	Deoxy-Ribonucleoside-Monophosphates,WATER	Deoxy-Ribonucleosides,Pi	1.0	0.0
ushA	periplasmic space	4-NITROPHENYLPHOSPHATASE-RXN	CPD-194,WATER	P-NITROPHENOL,Pi,PROTON	1.0	0.0
xapA	cytosol	XANTHOSINEPHOSPHORY-RXN	XANTHOSINE,Pi	RIBOSE-1P,XANTHINE	1.0	0.0
xapA	cytosol	INOPHOSPHOR-RXN	INOSINE,Pi	RIBOSE-1P,HYPOXANTHINE	1.0	1.0
xapA	cytosol	RXN0-5199	GUANOSINE,Pi	RIBOSE-1P,GUANINE	1.0	1.0
xdhB	cytosol	RXN0-901	XANTHINE,NAD,WATER	URATE,NADH,PROTON	1.0	0.0
xdhB	cytosol	RXN-7682	HYPOXANTHINE,NAD,WATER	XANTHINE,NADH,PROTON	1.0	0.0
xdhC	cytosol	RXN0-901	XANTHINE,NAD,WATER	URATE,NADH,PROTON	1.0	0.0
xdhC	cytosol	RXN-7682	HYPOXANTHINE,NAD,WATER	XANTHINE,NADH,PROTON	1.0	0.0
ybhA	cytosol	3.1.3.74-RXN	PYRIDOXAL_PHOSPHATE,WATER	PYRIDOXAL,Pi	1.0	0.0
ybhA	cytosol	F16BDEPHOS-RXN	FRUCTOSE-16-DIPHOSPHATE,WATER	FRUCTOSE-6P,Pi	1.0	0.0
ydfG	cytosol	RXN-8974	3-HYDROXY-PROPIONATE,NADP	MALONATE-S-ALD,NADPH,PROTON	0.0	1.0
yggF	cytosol	F16BDEPHOS-RXN	FRUCTOSE-16-DIPHOSPHATE,WATER	FRUCTOSE-6P,Pi	1.0	0.0
yrfG	cytosol	RXN-7607	IMP,WATER	INOSINE,Pi	1.0	0.0
